customer_id,revenue,number_of_orders,recency_days,ClustID
31750,981,8,245,0
8712,1156,9,272,0
18767,915,11,235,0
21307,1030,9,253,0
24595,818,9,460,0
16081,977,11,451,0
19458,712,10,249,0
37932,1234,12,420,0
20454,634,11,235,0
6081,1135,10,245,0
20043,1246,13,430,0
8896,1049,12,255,0
18149,738,12,489,0
9152,1373,11,424,0
12436,1076,10,374,0
20118,890,9,289,0
32732,690,11,267,0
34890,1314,15,440,0
3064,1096,11,360,0
30778,786,9,447,0
3997,1396,12,480,0
11179,1000,11,498,0
24284,927,8,280,0
28508,986,9,242,0
24113,751,7,310,0
39744,1030,11,266,0
5619,1233,11,394,0
36951,827,9,446,0
4885,833,10,289,0
25200,876,10,449,0
33372,1145,11,246,0
11391,1184,12,424,0
11230,1098,11,330,0
21262,1229,11,245,0
26913,1027,9,425,0
15354,952,8,226,0
38596,1244,13,286,0
22674,1321,15,383,0
26797,1039,10,465,0
38378,851,9,237,0
26586,1015,8,246,0
11377,764,10,290,0
37759,1131,10,442,0
5588,1016,9,238,0
37901,1153,12,409,0
1993,948,9,453,0
30136,879,8,348,0
1676,1327,10,276,0
16490,960,11,281,0
31109,1140,10,398,0
31317,722,10,239,0
34683,1261,11,279,0
12461,1029,7,295,0
7223,1049,9,276,0
16929,981,9,234,0
10185,1162,9,254,0
2580,1118,11,316,0
30890,1009,9,283,0
15398,1022,10,354,0
12299,791,10,427,0
39476,1089,9,320,0
9827,967,8,469,0
6881,1049,10,292,0
34996,904,10,257,0
2608,767,7,296,0
12460,1066,8,237,0
33336,1225,11,238,0
14248,1225,12,422,0
17224,936,8,423,0
39631,814,9,233,0
18775,1248,13,266,0
16070,1061,10,272,0
8157,776,10,303,0
31151,815,11,417,0
31832,1422,11,433,0
34992,1107,9,236,0
9938,1014,11,482,0
18046,760,10,345,0
34661,1406,12,393,0
5336,1074,11,232,0
39635,1009,12,494,0
22416,1254,12,248,0
23995,898,9,394,0
13171,1412,12,339,0
18590,1019,9,314,0
16379,851,9,314,0
37657,845,11,340,0
37315,758,9,436,0
593,1345,10,236,0
257,1292,10,247,0
38272,728,10,425,0
26376,1070,10,286,0
20233,960,8,454,0
35302,813,8,331,0
22486,1097,10,230,0
18005,937,8,431,0
16734,807,9,244,0
31712,1119,9,244,0
39312,903,10,251,0
29207,861,10,272,0
15356,920,9,246,0
33650,848,11,471,0
27744,860,8,341,0
3543,1049,13,335,0
21601,946,12,401,0
3286,908,8,449,0
38911,1072,7,237,0
26816,1344,9,235,0
19659,981,10,408,0
13469,1212,16,431,0
30164,684,11,249,0
2411,1299,13,408,0
39338,862,7,291,0
39063,893,11,231,0
18792,1322,13,355,0
14714,893,12,248,0
32937,924,9,417,0
32944,916,10,522,0
24741,1086,9,470,0
26393,1026,10,244,0
4727,770,11,252,0
22079,811,10,226,0
29844,1257,9,330,0
37244,866,8,271,0
20321,719,10,374,0
30413,1160,12,421,0
6968,864,8,274,0
15041,1315,11,262,0
23034,822,8,372,0
2179,1434,11,421,0
38896,650,8,317,0
7711,1149,13,271,0
10645,933,10,448,0
16307,961,9,222,0
24831,843,9,399,0
22237,1000,10,264,0
4002,1217,12,457,0
32485,712,9,320,0
32760,883,11,422,0
19729,1059,11,302,0
26132,783,8,370,0
8511,943,10,229,0
5506,994,9,455,0
15023,1415,11,397,0
17414,1430,12,296,0
7628,948,9,319,0
27856,1254,11,364,0
37569,804,9,380,0
154,1006,8,310,0
37086,1002,13,459,0
14042,935,9,287,0
85,1115,10,387,0
1378,965,9,229,0
29898,1041,11,304,0
32283,1108,9,309,0
31115,1154,13,327,0
39734,983,9,241,0
37384,811,10,465,0
2288,1035,9,372,0
33683,937,6,326,0
31861,1309,11,339,0
37272,1011,8,498,0
23140,1251,11,281,0
23392,753,10,412,0
35616,975,11,242,0
34704,1004,10,314,0
11498,942,9,344,0
17463,1424,12,305,0
39958,1072,9,508,0
33897,752,9,282,0
20000,1029,9,559,0
27508,1160,11,435,0
9171,970,11,262,0
13780,670,9,291,0
13485,876,7,270,0
8206,1276,10,238,0
30825,1052,12,308,0
19699,781,10,387,0
23557,1027,12,353,0
29122,686,10,374,0
24520,1106,11,242,0
265,1173,10,475,0
22912,939,10,447,0
7165,773,11,356,0
796,742,11,229,0
28707,960,10,392,0
28492,770,8,389,0
23762,1241,8,301,0
801,1176,12,490,0
22689,1035,8,225,0
21086,1092,9,294,0
6139,876,9,260,0
29034,934,11,353,0
38230,1004,8,220,0
20469,1060,11,419,0
23727,1023,10,417,0
36327,1178,11,273,0
23381,935,9,318,0
16628,854,7,307,0
14934,774,8,315,0
31627,1031,11,490,0
13879,1149,10,232,0
39887,776,8,383,0
3254,760,10,241,0
26285,1070,12,282,0
38801,1114,10,467,0
33512,1200,12,322,0
9137,955,8,472,0
20499,700,9,311,0
8659,1072,10,416,0
33764,889,11,236,0
15984,833,10,376,0
7046,907,9,417,0
406,1410,13,439,0
34871,1177,13,257,0
10006,1047,9,354,0
23155,964,10,241,0
4566,1557,13,481,0
35355,955,13,297,0
28400,989,9,247,0
32077,822,9,388,0
6286,1391,11,414,0
33248,892,8,302,0
25464,1208,11,250,0
14110,1043,9,421,0
24658,869,8,244,0
38427,793,8,360,0
7913,949,8,259,0
25186,1284,13,321,0
32898,795,12,427,0
35720,1583,15,517,0
11425,1003,10,383,0
38342,996,11,462,0
10049,801,7,318,0
38673,743,9,406,0
24686,816,10,226,0
25694,1121,10,295,0
32627,946,10,354,0
14313,1248,11,323,0
24660,1085,11,396,0
25575,1444,13,380,0
36022,1142,10,233,0
20520,1201,10,270,0
29100,802,11,282,0
36457,974,10,433,0
31337,704,9,263,0
27635,713,9,292,0
26818,1079,10,517,0
9848,860,8,335,0
19861,1058,11,262,0
23951,1205,10,365,0
28629,1159,10,497,0
12547,1057,11,464,0
13122,839,10,304,0
17215,872,9,238,0
29252,998,9,408,0
9422,1260,11,376,0
3593,1181,9,228,0
37633,1114,11,484,0
20603,745,8,320,0
9537,694,10,418,0
33492,1124,8,269,0
10041,1128,9,428,0
32032,925,12,409,0
21999,1199,9,372,0
27938,1070,10,244,0
24462,1039,10,406,0
9435,1004,10,234,0
25892,991,8,443,0
17054,1322,12,491,0
10008,699,9,271,0
19711,1084,8,382,0
2610,1264,11,301,0
3473,1111,14,428,0
28388,856,8,270,0
10146,1228,16,454,0
31637,1604,11,431,0
6433,979,10,318,0
8769,532,10,353,0
11005,870,8,377,0
32221,1090,10,281,0
11805,751,8,291,0
5970,657,9,363,0
7294,733,9,410,0
36846,977,10,325,0
30177,1019,10,398,0
38631,1310,8,237,0
16357,998,8,329,0
28223,1310,12,396,0
12019,858,8,258,0
19053,883,12,325,0
16661,908,12,264,0
35854,809,7,351,0
20345,1037,12,369,0
16063,587,9,322,0
14353,867,9,240,0
3892,1607,13,415,0
28676,1123,11,267,0
468,811,9,364,0
39574,891,9,274,0
3556,1270,11,360,0
656,973,8,315,0
32697,845,11,259,0
23603,947,11,317,0
4468,849,9,501,0
2065,1049,9,247,0
15621,950,10,319,0
39206,1080,8,399,0
27809,764,7,312,0
6809,611,11,380,0
16407,971,10,436,0
13816,827,9,284,0
8486,836,10,244,0
22171,874,10,480,0
15263,1195,12,265,0
23012,1049,15,463,0
14694,833,10,252,0
20710,1017,7,444,0
2658,864,9,353,0
30192,804,9,273,0
12699,931,10,238,0
30362,722,9,262,0
36104,768,9,398,0
11223,874,11,398,0
36170,1201,10,335,0
22139,880,8,412,0
15944,1214,13,443,0
37725,903,9,237,0
4674,871,11,451,0
34284,1201,12,326,0
7400,927,10,431,0
25003,978,10,275,0
22143,1234,11,420,0
35702,916,11,288,0
29771,1062,13,347,0
23641,1279,10,360,0
16055,1011,12,280,0
20878,1043,13,255,0
7795,1134,13,540,0
34215,1147,12,459,0
18060,832,10,252,0
1830,949,9,238,0
32351,1212,13,257,0
21011,1021,7,440,0
25915,977,9,393,0
34932,649,10,352,0
11161,1072,13,464,0
4267,821,9,381,0
16538,991,10,261,0
5020,1127,14,300,0
27060,975,8,217,0
28152,763,8,284,0
20855,1141,9,284,0
2124,687,9,285,0
28290,961,8,235,0
7189,717,11,270,0
34523,961,10,372,0
8001,1384,12,445,0
37100,944,10,287,0
6938,1112,8,244,0
10178,1092,11,371,0
11118,809,8,263,0
38392,813,9,358,0
9643,1300,11,365,0
37789,909,11,231,0
18723,1131,11,334,0
36607,1299,12,318,0
11789,1290,13,286,0
8886,1025,10,228,0
39527,559,10,359,0
35673,1150,12,249,0
37149,725,8,323,0
35630,1184,14,303,0
31585,852,9,224,0
1451,943,8,342,0
23794,937,10,428,0
39507,808,7,298,0
3487,823,10,280,0
8044,1006,11,342,0
23546,1482,12,328,0
3248,1278,12,470,0
25734,934,9,232,0
33936,1380,14,355,0
12425,777,9,387,0
37098,1092,8,231,0
38492,1010,12,267,0
3921,838,10,226,0
39457,1144,13,286,0
12508,759,8,351,0
32476,1078,8,286,0
14667,1082,10,312,0
24877,948,9,389,0
18245,1228,10,248,0
35956,1019,11,264,0
14685,862,12,469,0
35140,1237,12,457,0
4054,813,10,313,0
558,1090,10,335,0
38052,761,11,343,0
6358,902,8,235,0
35349,901,11,273,0
32744,1180,10,266,0
19967,1141,11,242,0
21628,734,7,306,0
37564,1027,10,232,0
16696,855,9,298,0
22445,970,10,367,0
28762,1069,10,559,0
34260,1100,8,341,0
36060,922,10,260,0
38968,1144,12,238,0
8576,742,10,367,0
3576,1115,9,236,0
29748,1096,11,301,0
22428,894,11,245,0
35073,759,9,251,0
33926,1339,12,352,0
28289,1084,9,362,0
5536,1283,12,274,0
14543,861,10,281,0
9607,1017,10,238,0
26277,1073,12,304,0
8816,673,10,300,0
3565,950,10,229,0
14550,921,11,465,0
30277,596,9,303,0
28080,573,11,282,0
36046,861,7,273,0
5897,849,6,304,0
24854,868,8,268,0
30391,948,11,248,0
13723,1211,14,379,0
34555,967,10,371,0
27107,990,10,245,0
39616,908,9,321,0
25313,1020,9,303,0
9603,880,9,302,0
25020,997,9,396,0
22589,1169,12,297,0
21225,1261,9,279,0
3081,1094,8,460,0
20997,958,9,226,0
3014,824,8,404,0
7887,893,9,317,0
9139,903,8,274,0
30385,907,10,267,0
7423,1182,13,450,0
37323,755,9,271,0
29090,803,9,329,0
25155,791,10,354,0
13076,1296,9,485,0
36950,894,9,452,0
34414,886,8,257,0
23118,1143,10,309,0
28037,1067,9,478,0
33005,953,7,270,0
36337,827,10,366,0
23677,702,12,478,0
9591,980,11,265,0
31426,896,9,227,0
35117,943,10,280,0
27228,824,8,276,0
20979,1495,14,418,0
205,903,10,269,0
20689,1073,11,379,0
25941,797,10,226,0
33506,1081,11,485,0
19743,986,11,244,0
32390,1034,13,378,0
22053,859,9,454,0
14924,963,10,398,0
8319,884,10,227,0
9487,1316,12,305,0
7077,1030,9,487,0
14438,976,8,287,0
2539,832,10,442,0
8324,1003,8,255,0
12663,939,11,431,0
1888,953,12,255,0
33454,898,9,406,0
13562,790,10,275,0
5390,874,8,443,0
20089,769,8,385,0
39244,825,11,322,0
4081,1003,12,460,0
4414,946,9,401,0
3868,886,8,415,0
23752,1005,11,263,0
35089,877,9,414,0
31913,952,10,239,0
11901,1101,10,497,0
34480,788,9,423,0
38753,1101,11,408,0
22212,903,8,408,0
14481,1009,10,338,0
5974,890,9,455,0
548,1069,8,525,0
19910,627,10,327,0
23211,1094,9,538,0
22045,979,10,441,0
22998,882,9,451,0
11538,829,12,386,0
11088,1052,10,430,0
24753,1129,9,349,0
37353,1348,11,409,0
5736,854,8,274,0
35293,1351,11,352,0
32727,1278,10,277,0
37127,954,9,397,0
4689,755,12,389,0
17984,1227,12,361,0
35851,917,9,220,0
29673,1322,14,408,0
37970,980,9,452,0
30675,1076,10,432,0
39576,1116,11,298,0
36735,1144,8,406,0
24333,756,9,288,0
14012,684,10,258,0
35161,1119,10,317,0
7784,1010,10,238,0
31556,1132,13,266,0
13594,879,9,247,0
32836,821,9,274,0
21166,821,9,366,0
22279,977,10,290,0
26774,853,8,333,0
31218,1096,13,344,0
39662,1012,12,445,0
4261,1436,12,448,0
25398,976,8,285,0
9309,1175,12,486,0
21556,1067,8,469,0
24828,965,8,294,0
23714,880,9,251,0
21788,1072,12,281,0
12555,1231,10,309,0
37652,919,13,356,0
8618,700,10,385,0
703,918,10,231,0
14381,1021,11,308,0
12222,1067,9,411,0
36648,1035,9,498,0
6995,860,11,262,0
8739,1010,8,291,0
20822,1065,9,296,0
16085,1373,11,452,0
10907,1381,15,479,0
12342,1207,11,445,0
21383,1023,8,310,0
1199,933,12,337,0
14019,1102,13,275,0
37380,1041,10,390,0
8624,925,12,424,0
22945,976,9,323,0
8126,813,8,349,0
24054,729,10,268,0
21024,1081,12,357,0
22123,848,11,361,0
1822,840,7,353,0
23059,941,11,464,0
36770,953,10,497,0
15217,1049,10,272,0
25034,946,12,385,0
34947,891,10,359,0
8318,1148,10,307,0
31269,1150,9,289,0
7351,1208,14,333,0
24525,932,10,337,0
39777,1287,12,340,0
20864,919,11,263,0
2924,980,8,251,0
22677,928,7,405,0
25796,1048,8,303,0
26120,773,9,289,0
9499,1173,12,375,0
14299,901,12,295,0
11067,1071,11,263,0
20022,828,8,287,0
11238,807,7,303,0
31603,936,9,462,0
1882,1184,11,385,0
13400,1090,9,338,0
28076,1069,13,370,0
28073,1020,11,423,0
17620,767,8,389,0
33193,810,9,269,0
10741,1055,10,532,0
31909,1195,11,246,0
3178,889,10,518,0
39114,1007,9,285,0
18058,1061,8,445,0
10890,776,10,365,0
9839,817,9,369,0
38952,801,10,223,0
9626,774,9,400,0
37866,981,9,246,0
32350,971,10,281,0
11081,894,9,322,0
6190,881,10,350,0
39941,1105,10,304,0
22686,936,11,492,0
11722,859,8,248,0
9488,1045,9,280,0
14167,907,10,267,0
18776,1188,11,238,0
14887,909,11,487,0
23128,1030,10,490,0
32033,989,13,302,0
39975,1332,11,362,0
25072,705,8,356,0
5417,822,8,314,0
39199,906,7,315,0
11674,958,8,257,0
1459,861,8,328,0
26485,1235,12,330,0
35949,1122,9,282,0
35686,857,8,356,0
36856,804,8,289,0
27693,1066,8,287,0
22041,1288,13,395,0
12315,750,9,320,0
38294,890,10,230,0
18974,988,11,430,0
36244,940,8,343,0
17699,935,12,489,0
13523,852,7,298,0
19101,1215,10,273,0
17437,995,8,264,0
37077,1027,12,350,0
32721,1258,11,441,0
3606,902,9,298,0
38420,1299,11,257,0
38514,1712,15,524,0
22128,1095,12,528,0
37754,853,10,421,0
3906,901,8,389,0
11874,1311,13,360,0
8034,812,9,281,0
12797,1439,13,428,0
19518,774,9,318,0
5129,986,9,250,0
12230,805,10,241,0
12818,1081,11,375,0
29084,964,9,375,0
25749,1045,7,232,0
23770,981,12,487,0
499,1330,12,301,0
14495,869,8,276,0
34787,887,10,308,0
23665,971,10,242,0
18037,1562,12,509,0
4173,768,8,307,0
27838,1358,11,327,0
34641,1107,13,246,0
14683,1368,13,380,0
19780,982,8,437,0
11469,1086,10,393,0
17137,1389,13,452,0
17287,1185,13,255,0
20461,827,10,407,0
10756,1044,10,462,0
33322,1278,10,398,0
5591,952,8,369,0
7214,1161,10,485,0
19473,949,9,229,0
37988,694,8,305,0
32324,794,10,246,0
36883,964,10,236,0
10679,1554,12,395,0
7857,1185,11,418,0
3882,769,10,352,0
12283,1413,12,411,0
24677,1207,9,390,0
34858,1193,11,345,0
6321,814,9,356,0
39875,1320,14,470,0
272,998,9,274,0
5460,934,11,250,0
5811,986,10,249,0
17754,990,9,247,0
38738,795,11,315,0
9209,1003,8,263,0
7499,929,12,390,0
13093,1168,11,251,0
2020,994,9,355,0
26571,836,12,344,0
16250,1231,11,285,0
19571,1071,9,237,0
7878,1216,10,270,0
7822,1194,13,288,0
7194,719,9,281,0
7601,1174,13,437,0
32612,944,9,266,0
14052,993,8,232,0
21317,956,9,261,0
33060,921,8,277,0
19626,1051,11,243,0
7093,908,10,316,0
30539,731,10,292,0
19332,981,8,393,0
13914,1140,10,297,0
13621,1188,11,253,0
24586,848,9,268,0
10790,861,10,245,0
11981,814,9,408,0
8099,638,10,441,0
20742,918,11,232,0
32118,1043,9,233,0
15163,702,10,408,0
3351,974,11,238,0
25299,921,9,236,0
25826,1004,13,335,0
39043,963,10,271,0
12820,1126,10,396,0
38072,812,10,304,0
12535,770,11,473,0
1112,871,8,405,0
32532,939,11,523,0
11791,1070,12,256,0
15635,819,9,247,0
998,1212,13,387,0
35624,910,8,273,0
28994,806,8,397,0
29983,880,10,479,0
20398,915,9,321,0
1444,971,8,335,0
17522,852,9,314,0
10004,1214,14,394,0
23766,914,12,240,0
8033,1259,13,307,0
37611,1013,10,543,0
11393,1042,10,387,0
864,1126,12,320,0
7433,1154,12,443,0
8378,787,11,309,0
8800,1229,11,256,0
3607,1229,11,456,0
38814,897,11,462,0
35909,1430,13,325,0
37226,966,12,441,0
11261,706,9,264,0
18399,991,7,431,0
34216,773,11,423,0
37308,929,8,233,0
28555,772,9,436,0
7130,835,10,337,0
28893,1017,10,399,0
20383,1137,13,420,0
17443,901,10,379,0
27829,1207,12,437,0
31733,945,9,288,0
27988,847,7,358,0
36261,883,10,294,0
21030,770,12,254,0
35960,1113,10,235,0
3243,1219,11,292,0
28711,1274,13,404,0
35548,1088,9,256,0
19618,1089,12,260,0
17987,1338,12,277,0
30782,840,7,343,0
12137,1223,8,296,0
39299,944,9,229,0
13925,958,9,221,0
35016,982,10,397,0
7802,763,9,408,0
9427,735,10,477,0
5639,704,8,354,0
34914,710,10,296,0
20954,744,9,258,0
7547,1035,13,435,0
1870,882,8,318,0
38887,1398,13,420,0
23922,838,9,357,0
26379,1127,11,252,0
30251,895,9,355,0
23250,984,10,254,0
10378,900,10,407,0
26701,860,8,278,0
21034,764,11,330,0
25149,1249,10,379,0
29256,905,9,282,0
38058,842,9,254,0
11449,818,8,270,0
29734,1102,15,504,0
36278,918,10,410,0
22982,800,10,361,0
26907,1380,12,271,0
37355,1204,11,366,0
7183,1169,9,416,0
34979,993,11,338,0
1198,844,9,239,0
16,807,9,365,0
19862,915,10,250,0
7708,1144,13,423,0
18081,1057,9,233,0
9433,1091,12,465,0
38930,1023,9,298,0
3559,837,8,301,0
29703,819,9,475,0
30295,918,8,288,0
27843,857,9,248,0
28318,1120,11,237,0
5776,832,8,368,0
6612,1135,14,270,0
23628,987,10,269,0
1747,710,9,414,0
7977,901,9,249,0
29072,1013,7,360,0
15811,1147,13,289,0
31154,750,9,414,0
22224,997,8,399,0
30925,1016,7,471,0
899,697,10,239,0
30060,1015,9,563,0
34308,1129,10,467,0
24125,1092,12,334,0
28459,983,12,248,0
13813,804,10,468,0
13114,1105,11,345,0
2928,825,9,257,0
15511,937,10,454,0
14707,1135,12,288,0
6620,948,12,236,0
958,1087,10,276,0
11399,842,12,380,0
26109,979,12,389,0
33256,1060,9,254,0
27227,820,11,444,0
15549,1101,9,464,0
34687,877,8,289,0
14792,833,9,367,0
15705,1224,10,511,0
38699,787,10,494,0
25440,782,7,295,0
20513,1074,11,298,0
29288,728,9,405,0
13334,684,10,313,0
23478,936,11,383,0
11170,683,9,407,0
33026,704,9,353,0
16671,813,9,315,0
23445,1017,9,279,0
32325,718,8,292,0
38150,1216,11,299,0
1151,1017,12,394,0
31322,1084,9,325,0
36071,1390,14,348,0
15883,884,9,269,0
23223,785,10,292,0
13422,1070,10,229,0
39053,826,10,255,0
33542,785,10,285,0
25015,822,10,394,0
14898,930,11,308,0
20915,811,8,267,0
38931,911,8,289,0
20073,900,9,450,0
7079,1041,9,299,0
12552,810,9,430,0
23932,1028,7,315,0
34868,874,13,292,0
23280,993,8,329,0
37055,1238,11,368,0
28366,1384,11,365,0
25708,1030,10,251,0
17842,991,12,244,0
32569,966,9,251,0
25615,1161,10,349,0
30891,851,11,415,0
12423,981,11,437,0
38742,1079,10,267,0
19638,888,8,244,0
7683,1358,12,282,0
17449,726,9,266,0
2673,691,9,333,0
14810,1346,11,242,0
6791,1020,8,279,0
36739,961,11,368,0
38315,1463,13,459,0
34943,870,12,246,0
26425,1090,12,462,0
17661,811,9,242,0
14688,929,9,220,0
14820,924,11,457,0
27773,685,9,307,0
11138,846,9,388,0
13245,1078,10,401,0
34514,969,9,318,0
9453,1099,9,446,0
35927,779,8,279,0
4283,859,11,241,0
17911,1054,11,245,0
31979,920,8,469,0
25868,776,7,298,0
39029,780,9,254,0
18716,870,9,233,0
30879,1357,12,343,0
38608,914,11,382,0
20945,1209,11,275,0
25216,931,9,326,0
13273,653,10,450,0
2362,1136,9,244,0
25601,1011,8,248,0
7073,995,11,420,0
25288,1126,10,533,0
5200,898,9,354,0
18163,1016,11,453,0
27220,961,13,451,0
31132,1078,9,264,0
25921,777,10,249,0
17084,803,9,240,0
987,892,10,467,0
5229,859,9,335,0
5116,781,8,383,0
35203,1207,12,260,0
15689,1076,9,486,0
14945,816,9,440,0
35925,972,12,257,0
19164,983,9,234,0
37340,1077,11,250,0
35036,930,9,299,0
2028,894,9,461,0
39968,1057,10,227,0
8068,953,8,235,0
11987,1130,10,328,0
31929,942,10,334,0
32723,1065,10,307,0
39243,1065,10,272,0
12285,918,10,241,0
4208,1014,12,379,0
18477,954,10,361,0
393,784,10,359,0
17582,1050,9,235,0
10355,852,8,384,0
12780,672,9,334,0
39738,635,9,291,0
7335,680,13,361,0
4692,872,10,242,0
29782,1037,11,282,0
25805,1078,12,422,0
1572,1541,11,353,0
14609,754,10,230,0
31520,995,8,222,0
16558,973,12,437,0
18954,1046,11,280,0
7300,879,12,235,0
4178,1046,10,392,0
7586,798,9,412,0
25245,877,10,367,0
2958,1145,10,290,0
14862,743,8,331,0
24008,862,13,357,0
35520,1228,10,305,0
25853,998,9,237,0
39121,828,7,281,0
17837,1188,13,314,0
8924,811,7,346,0
5239,1336,11,250,0
11105,882,15,262,0
28134,999,8,418,0
35341,896,8,377,0
13755,707,11,229,0
2022,970,9,455,0
22330,740,10,268,0
36476,1017,12,462,0
11209,1273,10,414,0
31503,993,12,312,0
244,1392,9,370,0
23090,874,12,463,0
15226,878,11,269,0
35247,732,10,493,0
2448,838,9,228,0
35299,998,13,301,0
29624,930,10,347,0
16088,1096,11,420,0
3608,839,11,396,0
7349,873,10,227,0
39156,585,9,348,0
14136,927,10,306,0
28319,1295,13,326,0
35587,1125,11,281,0
37190,956,11,413,0
25662,983,10,352,0
35395,955,8,242,0
19006,1289,13,438,0
19945,1101,12,259,0
7786,991,8,522,0
15280,782,9,439,0
25301,1073,11,337,0
315,804,11,291,0
39469,1197,12,473,0
23238,996,9,359,0
15423,1261,11,250,0
33993,1126,10,284,0
34322,819,9,400,0
5684,1157,13,424,0
21952,899,11,283,0
16999,1328,10,250,0
26439,1007,12,329,0
11056,758,8,295,0
7907,891,7,390,0
29001,859,8,330,0
33550,865,11,238,0
4813,784,9,276,0
5053,986,11,285,0
10418,801,12,299,0
29746,1118,8,244,0
15793,869,8,264,0
16915,695,9,269,0
3809,801,8,351,0
17513,947,10,272,0
33661,1156,8,276,0
8084,847,12,353,0
26844,575,9,293,0
36790,1040,9,367,0
22766,1294,14,401,0
3939,1014,12,242,0
16260,1015,11,358,0
9456,1009,9,494,0
27781,803,9,257,0
4652,1120,11,262,0
19869,1053,12,356,0
5547,1043,15,297,0
2752,1482,12,378,0
12806,1209,11,409,0
28978,1183,8,345,0
14878,877,10,277,0
12606,1303,11,252,0
23680,1525,12,344,0
12526,989,10,348,0
30449,754,8,300,0
32312,829,7,300,0
5976,966,12,314,0
39788,750,12,528,0
33457,1011,10,240,0
26562,598,9,306,0
34374,1224,13,367,0
4120,902,8,287,0
21210,1268,11,252,0
12226,975,8,267,0
25002,797,8,269,0
37068,985,10,228,0
21842,870,10,437,0
1915,1074,12,421,0
3688,1006,9,414,0
20300,880,9,374,0
15548,797,9,417,0
33162,1097,10,256,0
17379,801,7,294,0
15324,803,9,443,0
11444,922,10,477,0
527,635,11,389,0
24447,815,13,271,0
18771,723,9,260,0
127,837,12,239,0
24425,872,9,270,0
29648,791,9,238,0
4331,1295,12,255,0
7764,744,10,512,0
39204,933,12,268,0
27084,936,10,301,0
6551,742,10,234,0
19322,1023,9,227,0
1684,762,10,353,0
3484,678,11,304,0
35826,1111,10,491,0
22631,1250,11,300,0
18499,1031,10,410,0
8947,662,10,380,0
23285,1216,11,556,0
31566,816,10,351,0
